"any","Codi arxiu digital","duració","exposició","intal.lació","núm. inventari","observacions","préstec","productor",,"qualitat","Realització",,"so","status","suport","tipus","títol"
" 2000
",,"03:00:00","maquettes-sans-qualité. Travail en grève / Treball en vaga","  4ª maqueta sin cualidad.",598,,,,," buena","Alejandra Riera","p","  con sonido. Idioma inglés"," 1"," dvd"," video en color","  "" An unrealizable film, ENGLISH VERSION, the music thata accompanies us """
"2000; 2003
",,"01:03:00","maquettes-sans-qualité. Travail en grève / Treball en vaga"," 3ª maqueta sin cualidad",602,"Alejandra Riera  y la asociación (de pas) en dialogo con Farida, Nadia, Nordine.  hot water 33min. y Revenants 30 min. ",,,," buena","Alejandra Riera","p"," francés con subtitulos al inglés","1"," dvd"," video, blanco- negro y color","  Hot water- de l'eau chaud ( 2000 ). Revenants ( 2003 )"
" 2004
",,"00:58:00","maquettes-sans-qualité. Travail en grève / Treball en vaga",,603,"58 min.Tiempo de duración complesiva de los dos videos",,,," buena","Alejandra Riera","p"," con sonido"," 1"," dvd"," video en color"," ¿gubernamentabilidad? 
Ici et ailleurs Paris-Barcelona
  
"
"1999",,"00:05:56","Anna Maria Maiolino",,817,"Música: Vania Dantas Leite
Voz: Marcia Taborda
Refilmagem baseado em filme Super 8 realizado originalmente em 1982.",,"Anna Maria Maiolino","p","bona","Anna Maria Maiolino","p","sí",,"DVD Loop","color"," + & –"
"x",,"03:00:00","maquettes-sans-qualité. Travail en grève / Treball en vaga",,599,,,,," buena","Alejandra Riera","p"," solo sonido","1"," dvd",," Audios tàpies"
" 2002
",,"01:00:42","Steve McQueen",,551,"28 min 32 s y 24 mon 10 s",,"Artangel ( Londres ), Documenta  ( kassel )","o, o"," buena","Steve McQueen","p"," sonido"," 1/2"," dvd ( transferida desde una pelicula en super 8 mm )"," color"," Caribs ' Leap/  Western Deep"
,,"00:02:00","El somni del públic: Theresa Hak Kyung  Cha","Audience Distant Relative",608,,,,,"buena","Theresa Hak Kyung Cha","p","voz de la artista","1","cd-r áudio",," I don't want to grow up"
" 1992-1993
",,"00:25:00","maquettes-sans-qualité. Travail en grève / Treball en vaga"," 3 ª maqueta sin cualidad",600,"Registración video de la película difundida en 1993 por el canal de televisión ARTE en programa TRANSIT 
Documentario",,,," media","Andreas Weiss  ","p"," Con sonido. Idiomas Turcos y francés con subtitulos en inglés.","1"," dvd"," blanco y negro"," Lettre à mon ennemie"
" 2000
",,"00:45:00","maquettes-sans-qualité. Travail en grève / Treball en vaga"," 3ª maqueta sin cualidad",601," Una conversación con Hiamm Abbass",,,," buena","Alejandra Riera","p"," Con sonido. idioma inglés","1"," dvd"," video en color"," Speaking about roles"
"1999","039_FV7_C016_NI255",,"Art & Language en pràctica",,255,,"Babuin, digitalització (gener 2011)",,,,"Fundació Antoni Tàpies","o",,"2/2","VHS",,"- Art & Language ""We aim to be amateurs"" installed in the style of the Jackson Pollock Bar
- Matisse and Expression
- Art and Language"
,"039_FV7_C016_NI257",,"Art & Language en pràctica",,257,,"Babuin, digitalització (gener 2011)",,,,"Fundació Antoni Tàpies","o",,"2/2","VHS",,"- Beaubourg
- Rothko at the Tate
- Monet"
,"039_FV7_C016_NI260",,"Art & Language en pràctica",,260,,"Babuin, digitalització (gener 2011)",,,,"Fundació Antoni Tàpies","o",,"1/1","VHS",,"- Frames
- Framing and Forming: Jackson Pollock
- On Pictures and Framing"
,"039_FV7_C016_NI259",,"Art & Language en pràctica",,259,,"Babuin, digitalització (gener 2011)",,,,"Fundació Antoni Tàpies","o",,"2/2","VHS",,"- Nine Gross and Conspicuous Errors
- Giotto: The Arena Chapel
- Picturing the Genders"
"2000
",,"03:00:00","maquettes-sans-qualité. Travail en grève / Treball en vaga"," 4ª maqueta sin cualidad.",596,,,,,"Buena","Alejandra Riera","p","con sonido. Varios idiomas (Turco, Kurdo, francés y inglés)","1","dvd","video en color.",""" Un film non réalisable, veus partielles ""1ª parte"
"2000
",,"03:00:00","maquettes-sans-qualité. Travail en grève / Treball en vaga"," 4ª maqueta sin cualidad.",597,,,,,"Buena","Alejandra Riera","p","con sonido, idioma francés.","1",," video en color.",""" Un filme no réalizable, vues partielle "" 2ª parte"
" 2003
","071_FV7_C016_NI593","01:30:00","maquettes-sans-qualité. Travail en grève / Treball en vaga",,593,,"Babuin, digitalització (gener 2011)",,," Buena","Alejandra Riera","p"," Con sonido. Idioma francés","1/3"," vhs","color","""Cité des femmes, images de chantiers en cours, paroles de ceux quien construisent """
"2009",,"00:15:02","Eva Hesse. Treballs de l’estudi","Nivell 2, àrea d’Arts combinatòries",741,"Briony Fer presenta l'exposició.
Loop (en bucle)",,"Camden Arts Centre ","o","Bona","Brian Ross","p","V.O. en anglès, subtítols en català",,"DVD en loop","Color","""EVA HESSE. Studiowork"""
"2002
",,,"Shoot Shoot Shoot. La primera dècada de la London Film-Makers’ Co-operative i el cinema d’avantguarda britànic 1966-1976",,536,"Todas las peliculas partenecen al ciclo: ""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976"" ",,,,"buena",,,"con sonido","1","vhs","color y blanco y negro","""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976"""
,"058_FV4_C016_NI537",,"Shoot Shoot Shoot. La primera dècada de la London Film-Makers’ Co-operative i el cinema d’avantguarda britànic 1966-1976",,537,"todas las peliculas partenecen al ciclo: ""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976""  ","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"buena","London Film Makers","o","con sonido y sin sonido","1/2","betacam SP L","color y blanco y negro","""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976""  "
,"058_FV4_C016_NI538",,"Shoot Shoot Shoot. La primera dècada de la London Film-Makers’ Co-operative i el cinema d’avantguarda britànic 1966-1976",,538,"Todas las peliculas pertenecen al ciclo: ""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976""  ","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011",,,"buena","London Film Makers","o","con y sin sonido","2/2","betacam SP L","color y blanco y negro","""La primera década de la London film-makers' coperative y el cine de vanguardia británico 1966-1976""  "
"1997-2002
","064_FV7_C016_NI534","01:40:00","Representacions àrabs contemporànies. El Caire",,534,,"Babuin, digitalització (gener 2011)","Alive DV production, Sherif el Azma, Townhouse Gallery of contemporary art","o, p, p","buena","Hassan Khan, Sherief Mazma","p, p","con sonido; idioma arabe con subtitutlos en inglés","1","vhs","color","""the eye struck me and the lord of the throne saved me"" (1997) S. e. A.; ""this is the political film""(1998) S.e.A.; ""Donia/Amor"" (2000) S.e. A.; ""Fuck this film"" (1998) H.K; ""An interview with an housewife"" (2001) S.e. A.; ""Sometimes/Somewhere else"" (2001) H.K.; "" Stories about man and women"" (2001) H.K.; ""Fish soup"" (2001) S.e.A.; "" Six questions to the libanise"" (2001) H.K.; "" A prayer to the sound of dog"" (2001) S.e.A.; ""Technicolor mubarak"" (2001)H.K.; ""Transitions: a work in progress"" (2001) H.K.; ""100 portraits"" (2001) H.K.; "
"1989",,"00:28:00 ","Àfrica explora: art africà del segle XX","Auditori",122,"L'original d'una de les dues pel.lícules que es van passar a l'auditori",,"National Museum of African Art","o",,"Stanlsk Media","o","si ","original","VHS pal","color","""Togu Na & Cheko"" Change and Continuity in The Art of Mali"
"1969",,"00:27:42 ","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",724,"14-19 de maig de 2008",,,,,"Grup Medvedkine de Besançon","o","V.O. Subtitulada en castellà","10.1","DVD b/n","Curtmetratges. PAL, 4/3. Stereo","(Sèrie) Nouvelle société nº5 - 7"
"1976",,"00:03:45","Anna Maria Maiolino",,832,"Actors: Paulo Herkenhoff i Bruno Tauz
Fotografia: Maria do Carmo Secco

",,,,"bona","Anna Maria Maiolino","p","no",,"DVD Loop","b/n","+ - = -"
"dels anys 30 als 60","045_FV7_C016_NI402",,"Cultures d'arxiu",,402,"Material cinematográfico privado y familiar. 31 películas rodadas y montadas por la autora entre los años treinta a los setenta; los soportes varían entre 9,5 mm y 16 mm; las latas pertenecen a un conjunto depositado en el archivo de la Filmoteca de la Generalitat de Catalunya","Babuin, digitalització (gener 2011)","Filmoteca de la Generalitat","o",,"Filmoteca de la Generalitat","o","si","1/1","VHS","color","1"
