"any","Codi arxiu digital","duració","exposició","instal.lació","núm. inventari","observacions","préstec","productor","qualitat","Realització","so","status","suport","tipus","títol"
" 2000
",," 3 horas."," Mauquetas -sin-cualidad","  4ª maqueta sin cualidad.",598,,,," buena","Alejandra Riera","  con sonido. Idioma inglés"," 1"," dvd"," video en color","  "" An unrealizable film, ENGLISH VERSION, the music thata accompanies us """
"2000; 2003
",," hot water 33min. y Revenants 30 min. ","Maquetas-sin-cualidad"," 3ª maqueta sin cualidad",602,,,," buena"," Alejandra Riera y la asociación ( de pas ) en dialogo con Farida, Nadia, Nordine"," francés con subtitulos al inglés","1"," dvd"," video, blanco- negro y color","  Hot water- de l'eau chaud ( 2000 ). Revenants ( 2003 )"
" 2004
",," 58 min.Tiempo de duración complesiva de los dos videos"," Maquetas-sin-cualidad",,603,,,," buena"," Alejandra Riera"," con sonido"," 1"," dvd"," video en color"," ¿gubernamentabilidad? 
Ici et ailleurs Paris-Barcelona
  
"
"1999",,"00:05:56","Anna Maria Maiolino",,817,"Música: Vania Dantas Leite
Voz: Marcia Taborda
Refilmagem baseado em filme Super 8 realizado originalmente em 1982.",,"Anna Maria Maiolino","bona","Anna Maria Maiolino","sí",,"DVD Loop","color"," + & –"
"x",," 3 horas."," Mauquetas -sin-cualidad",,599,,,," buena"," Alejandra Riera"," solo sonido","1"," dvd",," Audios tàpies"
" 2002
",," 28 min 32 s y 24 mon 10 s"," Steve McQueen",,551,,," Artangel ( Londres ) y Documenta  ( kassel )."," buena","  Steve McQueen"," sonido"," 1/2"," dvd ( transferida desde una pelicula en super 8 mm )"," color"," Caribs ' Leap/  Western Deep"
,,"2 min","El sueño del publico: Teresa Hak kyung Cha","Audience Distant Relative",608,,,,"buena","Teresa Hak kyung Cha","voz de la artista","1","cd-r áudio",," I don't want to grow up"
" 1992-1993
",," 25 min. aprox."," Mauquetas -sin-cualidad"," 3 ª maqueta sin cualidad",600,"  Registración video de la película difundida en 1993 por el canal de televisión ARTE en programa TRANSIT ",,," media"," Alejandra Riera.( ? ) Documentario de Andreas Weiss  "," Con sonido. Idiomas Turcos y francés con subtitulos en inglés.","1"," dvd"," blanco y negro"," Lettre à mon ennemie"
" 2000
",," 45 min."," Maquetas-sin-cualidad "," 3ª maqueta sin cualidad",601," Una conversación con Hiamm Abbass",,," buena","  Alejandra Riera"," Con sonido. idioma inglés","1"," dvd"," video en color"," Speaking about roles"
"1999",,,"Art & Language in Practice",,254,,"CEDIT A LA BIBLIOTECA (16/1/2001)",,,"Fundació Antoni Tàpies",,"1/2","VHS",,"- Art & Language ""We aim to be amateurs"" installed in the style of the Jackson Pollock Bar
- Matisse and Expression
- Art and Language"
