"any","autor","persona/organització","Codi arxiu digital","contingut","durada","exposició","format","Idioma","notes","núm. inv.","productor","títol"
28112006,"José Díaz Cuyás","p","079_FA1_C002_NI198",,"01:31:52","La imatge fantasma","DVD","castellà","Original",,,"Seminari: La imatge fantasma
Conferència: Visions aèries"
28112006,"José Díaz Cuyás","p",,,"01:31:52","La imatge fantasma","DVD","castellà","Còpia",4,,"Seminari: La imatge fantasma
Conferència: Visions aèries"
23012007,"Jordi Gràcia","p",,,"01:00:12","Els cartells de Tàpies i l’esfera pública","DVD","castellà","Original",7,,"Conferència: La munició civil de l’art"
23012007,"Jordi Gràcia","p",,,"01:00:12","Els cartells de Tàpies i l’esfera pública","DVD","castellà","Còpia",8,,"Conferència: La munició civil de l’art"
30012007,"Santi Barjau","p",,,"01:01:50","Els cartells de Tàpies i l’esfera pública","DVD","català","Original",9,,"Conferència: Art i missatge del cartell cívic a Catalunya"
30012007,"Santi Barjau","p",,,"01:01:50","Els cartells de Tàpies i l’esfera pública","DVD","català","Còpia",10,,"Conferència: Art i missatge del cartell cívic a Catalunya"
6022007,"Raquel Pelta","p",,,"01:03:12","Els cartells de Tàpies i l’esfera pública","DVD","castellà","Original",11,,"Conferència: Dissenyar per a la utopia. Disseny i compromís social a Catalunya"
6022007,"Raquel Pelta","p",,,"01:03:12","Els cartells de Tàpies i l’esfera pública","DVD","castellà","Còpia",12,,"Conferència: Dissenyar per a la utopia. Disseny i compromís social a Catalunya"
2007,"Ursula Biemann, Nuria Enguita Mayo, Carles Guerra, Angela Melitopoulos, Lisa Parks","p",,"1-Activitat: Ursula Biemann, Nuria Enguita Mayo, Carles Guerra i Angela Melitopoulos, Presentació de Zona B: als marges d’Europa, 10/03/2007, castellà / anglès, àudio de la conferència, 02:51:57
2-Conferència: Lisa Parks, Senyals mixtos: infraestructures mediàtiques i geografies culturals als afores d’Europa, 21/03/2007, anglès, àudio de la conferència, 01:01:20
",,"Zona B: als marges d’Europa","MP3","castellà, anglès","Original",13,,"1-Activitat: Presentació de Zona B: als marges d’Europa, 10/03/2007
2-Conferència: Senyals mixtos: infraestructures mediàtiques i geografies culturals als afores d’Europa"
2007,"Ursula Biemann, Nuria Enguita Mayo, Carles Guerra, Angela Melitopoulos, Lisa Parks","p",,"1-Activitat: Ursula Biemann, Nuria Enguita Mayo, Carles Guerra i Angela Melitopoulos, Presentació de Zona B: als marges d’Europa, 10/03/2007, castellà / anglès, àudio de la conferència, 02:51:57
2-Conferència: Lisa Parks, Senyals mixtos: infraestructures mediàtiques i geografies culturals als afores d’Europa, 21/03/2007, anglès, àudio de la conferència, 01:01:20",,"Zona B: als marges d’Europa","MP3",,"Còpia",14,,"1-Activitat: Presentació de Zona B: als marges d’Europa, 10/03/2007
2-Conferència: Senyals mixtos: infraestructures mediàtiques i geografies culturals als afores d’Europa"
14122000,"Matt Mullican","p",,,,"Matt Mullican. Més detalls d’un univers imaginari ","MiniDV",,"Cinta 1/3",15,,"Conferència: Més detalls d’un univers imaginari"
14122000,"Matt Mullican","p",,,,"Matt Mullican. Més detalls d’un univers imaginari ","MiniDV",,"Cinta 2/3",16,,"Conferència: Més detalls d’un univers imaginari"
14122000,"Matt Mullican","p",,,,"Matt Mullican. Més detalls d’un univers imaginari ","MiniDV",,"Cinta 3/3",17,,"Conferència: Més detalls d’un univers imaginari"
21062002,"Walid Raad","p",,,"01:08:00","Representacions àrabs contemporànies. Beirut / Líban","MiniDV","anglès",,18,,"Activitat: conferència - perfomance: Prou de murmurar en veu alta. Documents de l’Atlas Group Archive"
23012007,"Jordi Gracia","p",,,"01:00:12","Els cartells de Tàpies i l’esfera pública","MiniDV","castellà",,19,,"Conferència: La munició civil de l’art "
30012007,"Santi Barjau","p",,,"01:01:50","Els cartells de Tàpies i l’esfera pública","MiniDV","català",,20,,"Conferència: Art i missatge del cartell cívic a Catalunya"
6022007,"Raquel Pelta","p",,,"01:03:12","Els cartells de Tàpies i l’esfera pública","MiniDV","castellà",,21,,"Conferència: Dissenyar per a la utopia. Disseny i compromís social a Catalunya"
10032007,"Nuria Enguita Mayo, Carles Guerra, Ursula Biemann","p",,"Presentació de l’exposició Zona B: als marges d’Europa realitzada a l’auditori de la Fundació Antoni Tàpies el 10 de març de 2007 
","02:48:35","Zona B: als marges d’Europa","MiniDV","castellà / anglès","Cinta 1/2",22,,"Activitat: Presentació"
10032007,"Ursula Biemann, Angela Melitopoulos","p",,"Presentació de l’exposició Zona B: als marges d’Europa realitzada a l’auditori de la Fundació Antoni Tàpies el 10 de març de 2007 ","02:48:35","Zona B: als marges d’Europa","MiniDV","castellà / anglès","Cinta 2/2",23,,"Activitat: Presentació, "
21032007,"Lisa Parks","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 21 de març de 2007","01:05:52","Zona B: als marges d’Europa","MiniDV","anglès",,24,,"Conferència: Senyals mixtos: infraestructures mediàtiques i geografies culturals als afores d’Europa"
2007,"Hamid Dabashi","p",,"Conferència realitzada a la Fundació Antoni Tàpies el 28 de setembre de 2007. Presentació del conferenciat a càrrec de Catherine David","00:51:27","Bahman Jalali","MiniDV","anglès",,25,,"Conferència: Bahman Jalali i la creació de la modernitat estética iraniana"
26102001,"Mika Vainio","p",,,00:34:23,"Arquitectures del discurs","MiniDV","És música","Existeix DVD. Núm. Inv. 337",26,,"Activitat: Concert Mika Vainio.
Logical Volume Identifier"
