"Núm. fotog.","Núm. ekta.","Nombre d'exemplars","Any","Autor i data de la fitxa","Bibliografia","Descripció de l'objecte","Estat de conservació","Exposicions","Lloc de procedència","Localització","updated loc.","Mides","obra gràfica =","obra original =","préstec a :","Reproduccions","Restauracions","técnica","Tècnica","Títol","Valoració Econòmica en €","vegap:","Causa de baixa i data","Objectes en relació indicacant n. registre","Edició","Editor","Exemplar","Mides planxa","Marca paper","Impressor","Tiratge","Núm. planxes","Filigrana","trad. castellano","trad. english","trad. français","trad.castellano técnica:","trad.english technique:","trad.français technique:"
,,2,1998,,,"Llibre amb 20 poemes d'Antonio Gamoneda i 7 aiguaforts i 2 litografies (incloses l'estoig i la coberta del llibre) d'Antoni Tàpies. La carpeta que conté la suite de gravats també està litografiada",,,,"OG","III03","44 x 32,6 cm","sí",,,,,,"7 aiguaforts/20 poemes","¿ Tú ?","18,0303631315",,,,"90 ex. n. 1-90 i s. ; 26 ex. P.A. n. I-XXVI i s. ; 4 ex. H. C. n. I-IV i s. destinats a col·laboradors. Cada ex. conté un a. s. Els 30 primers ex. i els 4 H.C. van acompanyats d'una suite dels 7 a. del llibre n. i s.","Galeria Toni Tàpies-Edicions T, Barcelona",,,,"Takeshi Motomiya i Joan Roma, Barcelona (a., estoig i coberta) i Gráficas 66, Valladolid (texto)",,,,,,,,,
,,2,1998,,,"Llibre amb 20 poemes d'Antonio Gamoneda i 7 aiguaforts i 2 litografies (incloses l'estoig i la coberta del llibre) d'Antoni Tàpies. La carpeta que conté la suite de gravats també està litografiada",,,,"OG","III03","44 x 32,6 cm","sí",,,,,,"7 aiguaforts/20 poemes","¿ Tú ?",,,,,"90 ex. n. 1-90 i s. ; 26 ex. P.A. n. I-XXVI i s. ; 4 ex. H. C. n. I-IV i s. destinats a col.laboradors.
Cada ex. conté un a. s. Els 30 primers ex. i els 4 H.C. van acompanyats d'una suite dels 7 a. del llibre n. i s.","Galeria Toni Tàpies-Edicions T, Barcelona",,,,"Takeshi Motomiya i Joan Roma, Barcelona (a., estoig i coberta) i Gráficas 66, Valladolid (texto)",,,,,,,,,
,,2,1980,,,,,,,"OG","C03","16,5 x 17 cm","sí",,,,,"Serigrafía en dos tintas (blanco y marrón)","Serigrafia en dues tintes (blanc i marró)","[Invitació Maeght Zurich]",,,,,"75 exs. n. 1/75-75/75 i s. Invitació per l'exposició d'obres de Tàpies dels anys 1978-1979 a la Galerie Maeght de Zürich (desembre de 1980-gener de 1981)","Galerie Maeght, Zürich",,,"Cartó","Benteli AG, Berna",,,,,,,,,
,,2,1980,,,,,,,"OG","C03","16,5 x 17 cm","sí",,,,,"Serigrafía en dos tintas (blanco y marrón) sobre cartón","Serigrafia en dues tintes (blanc i marró) sobre cartró","[Invitació Maeght Zurich]",,,,,"75 exs. n. 1/75-75/75 i s. Invitació per l'exposició d'obres de Tàpies dels anys 1978-1979 a la Galerie Maeght de Zürich (desembre de 1980-gener de 1981)","Galerie Maeght, Zürich",,,,"Benteli AG, Berna",,,,,,,,,
,,,1995,,,,,,,"OG","E17","120 x 80 cm.","sí",,,,,"Xilografía en una tinta (negro)","Xilografia en una tinta (negre)","+-",,,,,"20 exs. n. 1/20-20/20 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. n. 1/2-2/2 i s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches vitel·la","Joan Roma i Takeshi Motomiya, Barcelona",,,,,,,,,
,,,1995,,,,,,,"OG","E17","120 x 80 cm.","sí",,,,,"Xilografía en una tinta (negro)","Xilografia en una tinta (negre)","+-",,,,,"20 exs. n. 1/20-20/20 i s., 3 exs. P.A. n. 1/3-3/3 i s., 2 exs. H.C. n. 1/2-2/2 i s., més alguns exs. nominals.","Galeria Toni Tàpies, Barcelona",,,"Arches vitel·la","Joan Roma i Takeshi Motomiya, Barcelona",,,,,,,,,
"T-7108",,1,1993,,"p. 238 cat. AA, volum 7è",,"bó",,,"RP","25/29","14,5 x 92,5 x 73,5 cm",,"sí",,"p. 238 cat. AA, volum 7è",,,"Procediment mixt i assemblatge sobre fusta","=3.",,,,,,,,,,,,,,"=3","=3","=3","Técnica mixta y assemblage sobre madera","Mixed media and assemblage on wood","Procédé mixte et assemblage sur bois"
"T-6409",,,1991,,,,,,,"RP","32B","135 x 91,5 cm",,"sí",,,,,"Pintura sobre tèxtil sintètic","1, 2, 3",,,,,,,,,,,,,,"1,2,3","1,2,3","1,2,3","Pintura sobre textil sintético","Paint on synthetic fabric","Peinture sur textile synthétique"
"T-8568",,,2003,,,,,,,"RP","19B","200 x 175 cm",,"sí",,,,,"Pintura i vernís sobre fusta","1/2",,,,,,,,,,,,,,"1/2","1/2","1/2","Pintura y barniz sobre madera","Paint and varnish on wood","Peinture et vernis sur bois"
"T-5007",,,1983,,,,,,,"OG","E21","54 x 40,5 cm",,"sí",,,,,"Pintura i llapis sobre paper d'estrassa","11 de setembre I","39065,7867849458",,,,,,,,,,,,,"11 de septiembre I ","11th September I","11 septembre I","Pintura y lápiz sobre papel de estraza","Paint and pencil on brown paper ","Peinture et crayon sur papier bulle"
