"A & B Producçoes Cinematográficas","o"
"A. Daumreicher-Ivanceanu","o"
"Ábalos","o"
"Adam Shapiro","p"
"Agència EFE","o"
"Agloul et Hazar Productions","o"
"Agrupació Científico-excursionista","o"
"Akram Zaatari","p"
"Alain Fleischer","p"
"Alasin Media Oy","o"
"Alea Televisión","o"
"Aleix Gallardet","p"
"Alejandra Riera","p"
"Alexander García ","p"
"Alexandra Laudo","p"
"Alive DV production","o"
"All'insegna del Pesce d'Oro","o"
"Allan Sekula","p"
"amanda films","o"
"American Masters","o"
"Ammar Darwaza","p"
"Amnon Raz-Krakotzkin","p"
"Ana Mendieta","p"
"André S. Labarthe","p"
"Andrea Avaria","p"
"Andrea Fraser","p"
"Andreas Weiss","p"
"Andres Ross","p"
"Andy Warhol","p"
"Ángel González","p"
"Ángel Quintana","p"
"Angela Melitopoulos","p"
"Angela Ricci-Lucchi","p"
"Angelika Levi","p"
"Ann Gibson","p"
"Anna C. Chave ","p"
"Anna Maria Maiolino","p"
"Ant Farm","o"
"AntennaAudio","o"
"Antoni Muntadas","p"
"Antoni Tàpies i família","o"
"Antonio Escohotado","p"
"Antonio Manuel","p"
"Antonio Ortega","p"
"Arab Image Foundation","o"
"ARGOS","o"
"Ariel","o"
"Armando Silva","p"
"Armando Silva","p"
"Art Partners","o"
"ART-3","o"
"Artangel","o"
"Associació Catalana de Residents Senegalesos","o"
"Associació d'Amics de la Fundació Antoni Tàpies","o"
"Associació de Bibliòfils de Barcelona","o"
"Assumpta Bassas","p"
"Ave del Paraíso Ediciones","o"
"Aysegul Dogan","p"
"B. Biatek","p"
"B. Holnes","p"
"B. White","p"
"Babuin","p"
"Bahman Jalali","p"
"Barberprod","o"
"Barcelona Multimedia","o"
"Bartomeu Marí","p"
"Bassam Haddad","p"
"Baz Shamoun","o"
"BBC TV CO","o"
"bcn216","o"
"Benjamín H.D. Buchloh","p"
"Bill Fontana","p"
"Branka Stipancic","p"
"Brassaï","p"
"Brian Holmes","p"
"Brian Ross","p"
"Briony Fer, Catherine de Zegher","p"
"Bruno Muel","p"
"BTV","o"
"C.E.A.C., Fundació Miró","o"
"Camden Arts Centre","o"
"Canal Sur TV","o"
"canalMetro","o"
"Carles Ameller","p"
"Carles Guerra","p"
"Carles Taché","o"
"Carolina Tubau","p"
"Catherine David","p"
"Catherine Ramirez","p"
"CCCB","o"
"Centre d'Estudis Catalans","o"
"Centro Asturiano de Ginebra","o"
"Clara Plasencia","p"
"Clément Chéroux","p"
"Cleto Polcina Arte Moderna, S.R.L.","o"
"Clive Phillpot","p"
"Cobra Films","o"
"Comissió Lluís Maria Xirinacs","o"
"Comité en Homenaje a los Brigadistas Suizos de la Guerra Civil de España","o"
"Comité Español de Unicef","o"
"Comitè Organitzador Olímpic","o"
"Comité pro Liberación de Uruguay","o"
"Comune di Roma, Università degli Studi di Roma","o"
"Congrés de Cultura Catalana","o"
"Conservatori Superior de Dansa de l'Institut del Teatre de Barcelona","o"
"Constant vzw","o"
"Coordinadora de Comitès d'Ajuda Obrera a Bòsnia","o"
"Coordinadora per a la Salvaguarda del Montseny","o"
"Corporació Catalana de Ràdio i Televisió","o"
"Courtney Sale","o"
"Craigie Horsfield","p"
"Craigie Hosfield","p"
"Creu Roja","o"
"Cristián Gómez Moya","p"
"Curro Aix Gracia","p"
"Channel 4","o"
"Charles Atlas","p"
"Charles Harrison","p"
"Chip Lord","o"
"Chris Dercon","p"
"Chris Marker","p"
"Christa Blümlinge","p"
"D. Herskowitz","p"
"Dan Graham","p"
"Dani Espasa","p"
"Daniel Carreras","p"
"Daniel García Andujar","p"
"Daniel Hernández","p"
"Daniel Lelong","o"
"Das Kunstwerk","o"
"David Blanco","p"
"David Harvey ","p"
"David Hoffos","p"
"David Medalla","p"
"De Appel Museum","o"
"Dean Inkster","p"
"Dean MacCannell","p"
"Deborah Fernández","p"
"Diàfora S.A.","o"
"Dick Hebdige","p"
"Diedrich Diederichsen","p"
"Dirk Dumon","p"
"Documenta","o"
"Domingo Rodríguez","p"
"Domingo Sanchéz Blanco","p"
"Dore Ashton","p"
"E. Krall","p"
"E. Simpson","p"
"Éclair (distribuidora)","o"
"Ediciones Carmen Durango","o"
"Ediciones Guadalimar","o"
"Ediciones Polígrafa S.A","o"
"Ediciones Rayuela","o"
"Ediciones Rosembach","o"
"Edicions Polígrafa S.A","o"
"Edicions T i Daniel Lelong Éditeur","o"
"Editart, O. Blanco","o"
"Edition Domberger","o"
"Édition M. Marghescu","o"
"Éditiones Unes","o"
"Editions de la Tempête","o"
"Editions F.B. (François Bénichou)","o"
"Éditions François Benichou","o"
"Editions Galilée","o"
"Éditions R.L.D.","o"
"Editions Ryôan-ji","o"
"Editions Unes","o"
"Editorial Gustavo Gili","o"
"Edizioni del Cinquale","o"
"Edoardo Marraffa","p"
"Eduardo Clark","p"
"Eduardo Díaz","p"
"Elektra – Women´s Art Center","o"
"Elias Khoury","p"
"Elisabeth Lebovici","p"
"Emile de Antonio","p"
"Emília Capell","p"
"Emri Selim Lucien","p"
"Enrique Vila-Matas","p"
"Eric de Visscher","p"
"Eric Menard","p"
"Eric Satie","p"
"Erker Galerie Verlag Presse","o"
"Erker-Presse","o"
"Escola Massana","o"
"Escuela de Altos Estudios Económicos y Sociales","o"
"Estampat pel propi artista","o"
"Esteban Pujals Gesalí","p"
"Estudi Fornell","o"
"Etel Adnan","p"
"Eugeni Bonet","p"
"Eulàlia Valldosera ","p"
"Eyal Sivan","p"
"F. Audéoud","p"
"F. Dzida","p"
"FAD","o"
"Fadhil Al-Azzawi","p"
"Faisel Laibi","p"
"Farha Ghannam","p"
"Fata Morgana","o"
"Faustino Lastra","o"
"Federico Guzmán","p"
"Fernando Báez","p"
"Fernando Bryce","p"
"Ferran Alberich","p"
"Filmoteca de la Generalitat","o"
"Filmoteca Española","o"
"fito Rodriguez","p"
"Fondation du Château de Jau","o"
"Francesc Massip","p"
"Francesc Muñoz","p"
"Francis Picabia","p"
"Frederick Wiseman","p"
"Friedrick Kittler ","p"
"Fulvia Carnevale","p"
"Fundação Serralves","o"
"Fundació Antoni Tàpies","o"
"Fundació Artur Martorell","o"
"Fundació Joan Miró, C.E.A.C.","o"
"Fundación Picasso-Raventós","o"
"G. Piszczek","p"
"Gabriel Villota","p"
"Gail Levin","p"
"Galeria 42","o"
"Galeria Carl van der Voort","o"
"Galeria Joan Prats","o"
"Galeria Punto","o"
"Galeria Toni Tàpies - Edicions T, sota la direcció de Tristan Barbarà","o"
"Galerías AS","o"
"Galerie  Lelong","o"
"Galerie Stadler","o"
"Galerie Verlag Aras","o"
"Galerie Wünsche","o"
"Galleria del Cavallino","o"
"Galleria Due Ci","o"
"Gaumont","o"
"Gema Martín Muñoz","p"
"Generalitat de Catalunya","o"
"George Yúdice","p"
"Georges Didi-Huberman","p"
"Georges Méliès","p"
"Gerard Horta","p"
"Gérard Imbert","p"
"Gerd Haag","p"
"GHV","o"
"Gina Ferreira","p"
"Giorgio Upiglio","o"
"Giuseppe Chiari","p"
"Glauber Rocha","p"
"Godard, J-L.","p"
"Graphos Verlag","o"
"Gregory Rood","p"
"Grup ARC","o"
"Grup Dziga Vertov","o"
"Grup Medvedkine","o"
"Grup Tecnociència Literatura i Cinema","o"
"Guinness Button Publishing Limited","o"
"Gustavo Gili, S.A.
","o"
"Guy Debord","p"
"Gyan Prakash","p"
"H. Urbanczyk","p"
"Hak kyung Cha","p"
"Hala al Abdallah","p"
"Hamid Dabashi","p"
"Hana Al-Bayaty","p"
"Haneen Films","o"
"Haris Pellapaisiotis","p"
"Harmonia Carmona","p"
"Harun Farocki","p"
"Hashim Al-Tawil","p"
"Haskell Wexler","p"
"Hassan Khan","p"
"Helena Tatay","p"
"Hélène Raymond","p"
"Hélio Oiticica","p"
"Hervé Le Roux","p"
"Hospital Clínic Provincial","o"
"Hospital Sant Joan de Déu","o"
"Ibon Aramberri","p"
"Ibon Aranberri","p"
"Ignasi de Solà-Morales","p"
"Ignasi Ferrer Coll","p"
"Ilana Sabana","p"
"Ilil Bartana","p"
"Ina (Antenne2)","o"
"Internationale Sommerfestspiele","o"
"Isabelle Stengers ","p"
"Isidoro Valcárcel Medina","p"
"ISKRA","o"
"IT Dansa Jove Companyia de l'Institut del Teatre de Barcelona","o"
"Itziar González","p"
"Iván Bercedo, Jorge Mestre","p"
"Ivens, J.","p"
"J.L. Guerin","p"
"J.L. Marzo","p"
"J.Palaudelmàs","p"
