"Català","Castellà","Anglès"
"Abu Dhabi","Abu Dhabi",
"A Corunya","Abuja",
"Abuja","Accra",
"Accra","Addis-Abeba",
"Addis Abeba","Alejandría",
"Aixkhabad","Alma-Ata",
"Al-Manama","Amberes",
"Alacant","Ammán",
"Albacete","Amsterdam",
"Alexandria","Andorra la Vieja",
"Alger","Ankara",
"Alma-Ata","Antananarivo",
"Almeria","Antibes",
"Amman","Apia",
"Amsterdam","Argel",
"Andorra la Vella","Ashjabad",
"Ankara","Asís",
"Antananarivo","Asunción",
"Antíbol","Atenas",
"Anvers","Aviñón",
"Apia","Bagdad",
"Arles","Bairiki",
"Assís","Bakú",
"Asunción","Bamako",
"Atenes","Bandar Seri Begawan",
"Aurenja","Bangkok",
"Àvila","Bangui",
"Avinyó","Banjul",
"Badajoz","Basseterre",
"Baden-Baden","Beirut",
"Bagdad","Belén",
"Bairiki","Belgrado",
"Bakú","Belmopan",
"Bamako","Bérgamo",
"Bandar Seri Begawan","Berlín",
"Bangkok","Berna",
"Bangui","Bissau",
"Banjul","Bolonia",
"Barcelona","Bolzano",
"Basilea","Brandeburgo",
"Basseterre","Brasilia",
"Beirut","Bratislava",
"Belgrad","Brazzaville",
"Belmopan","Brema",
"Bèrgam","Bridgetown",
"Berlín","Brindisi",
"Berlín","Brujas",
"Berna","Bruselas",
"Betlem","Bucarest",
"Bilbao","Budapest",
"Bissau","Burdeos",
"Bolonya","Buenos Aires",
"Bonn","Bujumbura",
"Bordeus","Cagliari",
"Bozen","Cairo, El",
"Brandenburg","California",
"Brasília","Canberra",
"Bratislava","Cannes",
"Braunschweig","Caracas",
"Brazzaville","Castries",
"Bremen","Cherburgo",
"Bridgetown","Ciudad de México",
"Bríndisi","Ciudad del Cabo",
"Bruges","Coimbra",
"Brussel·les","Colombo",
"Bucarest","Colonia",
"Budapest","Conakry",
"Buenos Aires","Constanza",
"Bujumbura","Copenhague",
"Burgos","Dacca",
"Càceres","Dakar",
"Cadis","Damasco",
"Caire, el","Dodoma",
"Califòrnia","Doha",
"Càller","Dresde",
"Canberra","Dublín",
"Canes","Dushanbe",
"Caracas","Edimburgo",
"Cases de Pène","Ereván",
"Castelló de la Plana","Estambul",
"Castries","Estocolmo",
"Ceuta","Estrasburgo",
"Ciudad Real","Fez",
"Ciutat de Mèxic","Filadelfia",
"Ciutat del Cap","Florencia",
"Coïmbra","Fráncfort",
"Colombo","Freetown",
"Colònia","Friburgo",
"Conakry","Frunze",
"Conca","Gaborone",
"Constança","Gante",
"Copenhaguen","Gaza",
"Còrdova","Génova",
"Cherbourg","Georgetown",
"Dacca","Guatemala",
"Dakar","Habana, La",
"Damasc","Hamburgo",
"Djakarta","Hanoi",
"Djibouti","Harare",
"Dodoma","Haya, La",
"Doha","Helsinki",
"Dresden","Honiara",
"Dublín","Honolulú",
"Duixanbe","Islamabad",
"Düsseldorf","Jartum",
"Edimburg","Jerusalén",
"Eivissa","Kabul",
"Erevan","Kampala",
"Estocolm","Katmandú",
"Estrasburg","Kiev",
"Fes","Kigali",
"Figueres","Kingston",
"Filadèlfia","Kinshasa",
"Filderstadt","Kishiniov",
"Florència","Kuala Lumpur",
"Frankfurt","Kuwait",
"Freetown","La Valletta",
"Friburg","Larache",
"Frunze","Leningrado",
"Gaborone","Libreville",
"Gant","Lilongwe",
"Gaza","Lima",
"Gènova","Limotges",
"Georgetown","Lisboa",
"Ginebra","Liubliana",
"Girona","Lomé",
"Granada","Londres",
"Guadalajara","Lourdes",
"Guatemala","Luanda",
"Haia, l'","Luca",
"Hamburg","Lusaka",
"Hamburgo","Luxemburgo",
"Hannover","Lyon",
"Hanoi","Magdeburgo",
"Harare","Maguncia",
"Havana, l'","Malabo",
"Helsinki","Male",
"Hèlsinki","Managua",
"Honiara","Manama",
"Honolulu","Manila",
"Huelva","Mantua",
"Islamabad","Maputo",
"Istanbul","Marraqués",
"Jaén","Mascabe",
"Jerusalem","Maseru",
"Kabul","Mazalquivir",
"Kampala","Mbabane",
"Kàtmandu","Megara",
"Khartum","Menfis",
"Kíev","Mequínez",
"Kigali","Mesina",
"Kingston","Milán",
"Kinshasa","Minsk",
"Kixinov","Módena",
"Kuala Lumpur","Mogadiscio",
"Kuwait","Mónaco",
"La Valletta","Monrovia",
"Larraix","Montevideo",
"Las Palmas de Gran Canaria","Montpellier",
"Le Muy","Moroni",
"Leningrad (Sant Petersburg)","Moscú",
"Les Sables d'Olonne","Múnich",
"Libreville","Nairobi",
"Lilongwe","Nankín",
"Lima","Nápoles",
"Lió","Nassau",
"Lisboa","Nazaret",
"Ljubljana","N'Djanema",
"Logronyo","Niamey",
"Lomé","Nicosia",
"Londres","Niza",
"Londres","Nuakchott",
"Lorda","Nueva Delhi",
"Losne","Nueva Orleans",
"Luanda","Nueva York",
"Lucca","Nuku Alofa",
"Lugo","Nuremberg",
"Lusaka","Oporto",
"Luxemburg","Orán",
"Lleida","Orange",
"Llemotges","Oslo",
"Lleó","Ottawa",
"Madrid","Padua",
"Magdeburg","Palermo",
"Magúncia","Panamá",
"Malabo","Paramaribo",
"Màlaga","París",
"Male","Pekín",
"Managua","Pérgamo",
"Manila","Phnom Penh",
"Màntua","Pireo, el",
"Maputo","Port Louis",
"Marràqueix","Port Moresby",
"Marsella","Port Vila",
"Maseru","Porto-Novo",
"Masgat","Praga",
"Mataró","Praia",
"Mbabane","Pretoria",
