"Català","Castellà","Anglès"
"Afghanistan","Afganistan","Afghanistan"
"Albània","Albania","Aland Islands"
"Alemanya","Alemania","Albania"
"Andorra","Andorra","Algeria"
"Angola Angola","Angola","American Samoa"
"Antigua i Barbuda","Antigua y Barbuda","Andorra"
"Antilles","Antillas Holandesas","Angola"
"Antilles Holandeses","Arabia Saudita","Anguilla"
"Aràbia Saudita","Argelia","Antarctica"
"Svalbard","Argentina","Antigua And Barbuda"
"Algèria","Armenia","Argentina"
"Argentina","Aruba","Armenia"
"Armènia","Australia","Aruba"
"Aruba","Austria","Australia"
"Austràlia","Azerbaijan","Austria"
"Àustria","Bahamas","Azerbaijan"
"Azerbaidjan","Bahrain","Bahamas"
"Bahames","Bangladesh","Bahrain"
"illes Bahrein","Barbados","Bangladesh"
"Bangla Desh","Belarusia","Barbados"
"Barbados","Belgica","Belarus"
"Bèlgica","Belice","Belgium"
"Belize","Benin","Belize"
"Bermudes","Bermudas","Benin"
"Bhutan","Bolivia","Bermuda"
"Bielorússia","Bosnia","Bhutan"
"Bolívia","Botswana","Bolivia"
"Bòsnia i Herzegovina","Brasil","Bosnia And Herzegovina"
"Botswana","Brunei Darussulam","Botswana"
"Brasil","Bulgaria","Bouvet Island"
"Brunei","Burkina Faso","Brazil"
"Bulgària","Burundi","British Indian Ocean Territory"
"Burkina Faso","Butan","Brunei Darussalam"
"Burundi","Camboya","Bulgaria"
"Cap Verd","Camerun","Burkina Faso"
"Cambodja","Canada","Burundi"
"Camerun","Cape Verde","Cambodia"
"Canadà","Chad","Cameroon"
"Txad","Chile","Canada"
"Xile","China","Cape Verde"
"Xina","Chipre","Cayman Islands"
"Xipre","Colombia","Central African Republic"
"Ciutat del Vaticà","Comoros","Chad"
"Colòmbia","Congo","Chile"
"Comores","Corea del Norte","China"
"Congo","Corea del Sur","Christmas Island"
"Corea del Nord","Costa de Marfíl","Cocos (Keeling) Islands"
"Corea del Sud","Costa Rica","Colombia"
"Costa d'Ivori","Croasia","Comoros"
"Costa Rica","Cuba","Congo"
"Croàcia","Dinamarca","Congo, The Democratic Republic Of The"
"Cuba","Djibouti","Cook Islands"
"Benín","Dominica","Costa Rica"
"Dinamarca","Ecuador","Cote D'Ivoire"
"Djibouti","Egipto","Croatia"
"Dominica","El Salvador","Cuba"
"Equador","Emiratos Arabes Unidos","Cyprus"
"Egipte","Eritrea","Czech Republic"
"El Salvador","Eslovenia","Denmark"
"Emirats Àrabs Units","España","Djibouti"
"Eritrea","Estados Unidos","Dominica"
"Eslovàquia","Estonia","Dominican Republic"
"Eslovènia","Etiopia","Ecuador"
"Espanya","Fiji","Egypt"
"Catalunya","Filipinas","El Salvador"
"Estats Units d'Amèrica","Finlandia","Equatorial Guinea"
"EEUU","Francia","Eritrea"
"Estònia","Gabon","Estonia"
"Etiòpia","Gambia","Ethiopia"
"Federació Russa","Georgia","Falkland Islands (Malvinas)"
"Rússia","Ghana","Faroe Islands"
"Federació Malaia","Granada","Fiji"
"Fiji","Grecia","Finland"
"Filipines","Groenlandia","France"
"Finlàndia","Guadalupe","French Guiana"
"França","Guam","French Polynesia"
"Gabon","Guatemala","French Southern Territories"
"Gàmbia","Guayana Francesa","Gabon"
"Geòrgia","Guerney","Gambia"
"Ghana","Guinea","Georgia"
